system:index,elevation,nwsli,.geo
000000000000000000f5_0,341.64713,GNSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6_0,962.1392,GNTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7_0,1892.7427,GORC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8_0,754.9636,GOSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9_0,129.6106,GQEC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa_0,128.02316,GQTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb_0,1160.5785,GRDC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_0,2375.5427,GRMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd_0,1080.5784,GRRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe_0,1873.8224,GRSC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff_0,2097.7502,GRZC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100_0,196.12671,GSKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101_0,23.081,GSTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102_0,737.59375,GSVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103_0,1146.4965,GTMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104_0,850.6981,GVOC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105_0,1442.6761,GVPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106_0,270.77454,GVTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107_0,2091.1514,GVYC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108_0,1217.0696,GZFC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109_0,149.04852,GZYC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a_0,1399.6964,HABC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b_0,910.2283,HATC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c_0,2036.0933,HBRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010d_0,1299.3789,HDLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e_0,1351.232,HDVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f_0,1110.6597,HDZC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110_0,844.8655,HFLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000111_0,1467.6907,HGLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000112_0,2551.8103,HHMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000113_0,1932.2797,HHPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000114_0,1473.4116,HHWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115_0,1801.8314,HIGC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000116_0,1056.1583,HLCC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_0,1571.2485,HLKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000118_0,1677.4784,HLLC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000119_0,161.64604,HLWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011a_0,2190.5842,HMDC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011b_0,781.6638,HMMC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
