nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
1668D2B4,HOPN6,NY,43.3528,-74.2708,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE4A132A,HORN6,NY,42.3136,-77.6511,CENAB1,HG,,,,,,,,,,,,,,,,,,,,,,,
DDBC5798,HPBN6,NY,41.4758,-73.6894,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE59652A,HRLN6,NY,42.3489,-77.7044,CENAB1,HP,PC,,,,,,,,,,,,,,,,,,,,,,
CE49BA0E,HRNN6,NY,42.3347,-77.6833,CENAB1,HG,,,,,,,,,,,,,,,,,,,,,,,
17E13100,HTBN6,NY,42.3611,-74.6625,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD10F0AA,HTLN6,NY,42.1422,-74.2653,USGS01,HG,WT,,,,,,,,,,,,,,,,,,,,,,
DEF00742,HTWN6,NY,42.66,-75.04,SIDNEY,PC,,,,,,,,,,,,,,,,,,,,,,,
3B0550C6,HUQN6,NY,42.0364,-73.9253,NOAERD,TW,WC,WS,WX,WO,HM,WP,WT,WF,VB,,,,,,,,,,,,,,
DD17C704,HVDN6,NY,42.0244,-75.1192,USGS01,HG,TW,HG,,,,,,,,,,,,,,,,,,,,,
DDBCA71C,HVLN6,NY,44.1856,-75.3311,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD66E6BE,ICNN6,NY,42.4272,-76.5219,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD01E6B8,ICYN6,NY,42.4458,-76.5122,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
171E8608,ILIN6,NY,43.0067,-75.0417,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
D119D550,INRN6,NY,43.7564,-74.2675,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
